n,r,m
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Carpo, label: Carpo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Thalia, label: Thalia, type: Greek deity})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Aglaea, label: Aglaea, type: Greek deity})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eurynome, label: Eurynome, type: Okeanid})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Thalia, label: Thalia, type: Greek nymph})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Euphrosyne, label: Euphrosyne, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: Greek deity})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Astraeus, label: Astraeus, type: titan})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Eos, label: Eos, type: personification})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Astraea, label: Astraea, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: sibling}],"(:Character {id: Polemos, label: Polemos, type: personification})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Enyo, label: Enyo, type: war deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Clotho, label: Clotho, type: Greek deity})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: goddess})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Atropos, label: Atropos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: Greek primordial deity})"
"(:Character {id: Auxo, label: Auxo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Auxo, label: Auxo, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Auxo, label: Auxo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Auxo, label: Auxo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Auxo, label: Auxo, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Atropos, label: Atropos, type: Greek deity})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: goddess})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Clotho, label: Clotho, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: Greek primordial deity})"
"(:Character {id: Britomartis, label: Britomartis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Britomartis, label: Britomartis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Britomartis, label: Britomartis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Britomartis, label: Britomartis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Britomartis, label: Britomartis, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Carme, label: Carme, type: Greek nymph})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Atropos, label: Atropos, type: Greek deity})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Clotho, label: Clotho, type: Greek deity})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: goddess})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Lachesis, label: Lachesis, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Nyx, label: Nyx, type: Greek primordial deity})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eirene, label: Eirene, type: Greek deity})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Dike, label: Dike, type: allegorical Greek deity})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Themis, label: Themis, type: titan})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Dike, label: Dike, type: Greek deity})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Eirene, label: Eirene, type: personification})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Eunomia, label: Eunomia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Olympian god})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: fertility deity})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Hera, label: Hera, type: Greek deity})"
"(:Character {id: Eileithyia, label: Eileithyia, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Aphrodite Pandemos, label: Aphrodite Pandemos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Olympian god})"
"(:Character {id: Aphrodite Pandemos, label: Aphrodite Pandemos, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Dione, label: Dione, type: titan})"
"(:Character {id: Aphrodite Pandemos, label: Aphrodite Pandemos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: thunder deity})"
"(:Character {id: Aphrodite Pandemos, label: Aphrodite Pandemos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: King of the Gods})"
"(:Character {id: Aphrodite Pandemos, label: Aphrodite Pandemos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Aristaeus, label: Aristaeus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: Greek deity})"
"(:Character {id: Aristaeus, label: Aristaeus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Uranus, label: Uranus, type: Greek primordial deity})"
"(:Character {id: Aristaeus, label: Aristaeus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Aristaeus, label: Aristaeus, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: solar deity})"
"(:Character {id: Aristaeus, label: Aristaeus, type: Greek deity})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Asclepius, label: Asclepius, type: health deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: Greek deity})"
"(:Character {id: Asclepius, label: Asclepius, type: health deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: solar deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: Greek deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: Greek deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: mother}],"(:Character {id: Aphrodite, label: Aphrodite, type: fertility deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: mother}],"(:Character {id: Aphrodite, label: Aphrodite, type: goddess})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: father}],"(:Character {id: Apollo, label: Apollo, type: solar deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: father}],"(:Character {id: Dionysus, label: Dionysus, type: nature deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: mother}],"(:Character {id: Aphrodite, label: Aphrodite, type: Greek deity})"
"(:Character {id: Hymen, label: Hymen, type: nature deity})",[:RELATED {type: mother}],"(:Character {id: Aphrodite, label: Aphrodite, type: Olympian god})"
"(:Character {id: Phobos, label: Phobos, type: Greek deity})",[:RELATED {type: father}],"(:Character {id: Ares, label: Ares, type: Greek deity})"
"(:Character {id: Phobos, label: Phobos, type: Greek deity})",[:RELATED {type: sibling}],"(:Character {id: Deimos, label: Deimos, type: Greek deity})"
